dummy,dummy,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5,pop_SDP,pop_SDP_EI,pop_SDP_MC,pop_SDP_RC,pop_SSP2EU
2020,CAZ,43.758,43.7376,43.3504,43.7402,44.0334,43.758,43.758,43.758,43.758,43.6182346
2020,CHA,1025.9671,1025.4553,1025.2225,1025.5003,1025.8076,1025.9671,1025.9671,1025.9671,1025.9671,1008.9966801
2020,IND,926.9156,926.482,926.0914,926.4891,926.8241,926.9156,926.9156,926.9156,926.9156,926.48174288
2020,JPN,74.6377,74.6134,74.5499,74.6285,74.6738,74.6377,74.6377,74.6377,74.6377,74.57366047
2020,USA,214.1967,214.0603,212.8525,214.1026,215.0514,214.1967,214.1967,214.1967,214.1967,214.54485342
2025,LAM,464.4038,463.6232,465.6158,463.5447,462.0449,464.4038,464.4038,464.4038,464.4038,462.91578649
2025,OAS,866.076,864.8574,866.6533,864.3858,863.2773,866.076,866.076,866.076,866.076,864.85688025
2025,SSA,707.9545,705.8254,704.6509,704.3243,707.6068,707.9545,707.9545,707.9545,707.9545,705.04603266
2025,EUR,319.0173,318.659,315.8551,318.6468,321.0491,319.0173,319.0173,319.0173,319.0173,320.56571602
2025,NEU,78.3848,78.2929,78.2856,78.2982,78.3075,78.3848,78.3848,78.3848,78.3848,78.3089313
2025,MEA,356.4376,355.9689,355.4527,355.717,356.4358,356.4376,356.4376,356.4376,356.4376,355.4882433
2025,REF,190.5389,190.0037,189.3071,190.027,190.7224,190.5389,190.5389,190.5389,190.5389,190.07605318
2025,CAZ,44.2455,44.2011,42.9961,44.2088,45.2521,44.2455,44.2455,44.2455,44.2455,44.08058229
2025,CHA,1019.8228,1018.5829,1017.9391,1018.6642,1019.2622,1019.8228,1019.8228,1019.8228,1019.8228,1002.98671165
2025,IND,987.6582,985.9402,984.8875,986.1144,987.3219,987.6582,987.6582,987.6582,987.6582,985.93992638
2025,JPN,72.4211,72.353,72.1304,72.371,72.5608,72.4211,72.4211,72.4211,72.4211,72.31446437
2025,USA,215.922,215.5655,211.7633,215.6496,219.0581,215.922,215.922,215.922,215.922,216.05346064
2030,LAM,478.3231,476.7739,481.0112,476.6235,473.1382,478.3231,478.3231,478.3231,478.3231,476.08386505
2030,OAS,909.4257,906.7953,910.7584,905.7359,903.1183,909.4257,909.4257,909.4257,909.4257,906.7966456
2030,SSA,819.455,814.3539,811.7249,810.4074,818.3965,819.455,819.455,819.455,819.455,813.54313619
2030,EUR,310.4422,309.9235,303.9493,309.941,315.1379,310.4422,310.4422,310.4422,310.4422,312.21223213
2030,NEU,80.0123,79.8495,79.7895,79.8553,79.8887,80.0123,80.0123,80.0123,80.0123,79.86483905
2030,MEA,388.5747,387.5475,386.5845,386.9789,388.4506,388.5747,388.5747,388.5747,388.5747,387.00959548
2030,REF,191.3579,190.4868,189.0214,190.5334,191.9142,191.3579,191.3579,191.3579,191.3579,190.54692427
2030,CAZ,44.6761,44.6285,42.0973,44.6403,46.9113,44.6761,44.6761,44.6761,44.6761,44.50719106
2030,CHA,998.3241,996.096,995.1086,996.2523,997.1353,998.3241,998.3241,998.3241,998.3241,981.3892695
2030,IND,1036.0103,1032.442,1030.1561,1032.6879,1035.2529,1036.0103,1036.0103,1036.0103,1036.0103,1032.44171348
2030,JPN,69.9151,69.8001,69.319,69.814,70.2379,69.9151,69.9151,69.9151,69.9151,69.76292406
2030,USA,217.2828,216.7231,208.7309,216.8473,224.2736,217.2828,217.2828,217.2828,217.2828,217.21368102
2035,LAM,485.6114,486.5659,497.2978,483.7557,477.4949,485.6114,485.6114,485.6114,485.6114,485.89125621
2035,OAS,936.6832,940.1485,954.3676,937.2866,926.6042,936.6832,936.6832,936.6832,936.6832,940.15214396
2035,SSA,914.0628,925.2513,933.2588,929.2712,912.0641,914.0628,914.0628,914.0628,914.0628,924.41815401
2035,EUR,299.801,301.0232,293.4901,299.3075,307.4402,299.801,299.801,299.801,299.801,303.22838602
2035,NEU,80.4055,80.5575,80.9732,80.0053,80.2766,80.4055,80.4055,80.4055,80.4055,80.5721891
2035,MEA,412.5448,414.4591,417.081,413.0697,412.181,412.5448,412.5448,412.5448,412.5448,413.86862281
2035,REF,192.78,192.2932,191.2113,191.1637,193.8037,192.78,192.78,192.78,192.78,192.34538026
2035,CAZ,45.377,45.632,41.928,45.3807,48.91,45.377,45.377,45.377,45.377,45.508553
2035,CHA,941.2812,941.7853,946.3043,936.8434,939.4348,941.2812,941.2812,941.2812,941.2812,927.9448652
2035,IND,1068.9618,1069.884,1073.9448,1061.6967,1067.7454,1068.9618,1068.9618,1068.9618,1068.9618,1069.88370308
2035,JPN,65.9607,66.1533,65.7762,65.8314,66.4881,65.9607,65.9607,65.9607,65.9607,66.11806637
2035,USA,219.8718,220.7045,209.6782,219.3874,230.9893,219.8718,219.8718,219.8718,219.8718,221.20409343
2040,LAM,484.402,491.0357,512.5051,484.1852,473.2623,484.402,484.402,484.402,484.402,490.37333989
2040,OAS,949.6953,966.5329,998.7301,962.0498,935.5849,949.6953,949.6953,949.6953,949.6953,966.53889168
2040,SSA,984.7391,1035.571,1068.0982,1060.1943,981.5634,984.7391,984.7391,984.7391,984.7391,1034.71047868
2040,EUR,288.769,293.3497,285.7224,288.6178,299.624,288.769,288.769,288.769,288.769,295.25133498
2040,NEU,79.6029,80.4732,81.8467,78.9722,79.5093,79.6029,79.6029,79.6029,79.6029,80.48721336
2040,MEA,426.6076,434.909,445.0176,433.0947,425.8404,426.6076,426.6076,426.6076,426.6076,434.2721583
2040,REF,190.2952,190.7649,190.8656,187.7223,191.8687,190.2952,190.2952,190.2952,190.2952,190.80781851
2040,CAZ,45.8584,46.7023,41.9392,45.9729,50.7598,45.8584,45.8584,45.8584,45.8584,46.57639461
2040,CHA,883.3481,889.545,904.29,875.9887,880.8192,883.3481,883.3481,883.3481,883.3481,876.51880452
2040,IND,1085.6816,1097.7764,1115.9304,1075.1259,1083.9663,1085.6816,1085.6816,1085.6816,1085.6816,1097.77609534
2040,JPN,60.1129,60.8923,60.9213,60.0165,60.8641,60.1129,60.1129,60.1129,60.1129,60.85986841
2040,USA,222.3364,226.0292,213.0165,222.1318,237.8737,222.3364,222.3364,222.3364,222.3364,226.54084659
2045,LAM,476.1354,489.8817,525.1855,478.1867,461.985,476.1354,476.1354,476.1354,476.1354,489.2131106
2045,OAS,950.7392,985.0035,1041.1972,979.8728,932.4596,950.7392,950.7392,950.7392,950.7392,985.01189907
2045,SSA,1038.5713,1144.4101,1214.0644,1202.1376,1034.009,1038.5713,1038.5713,1038.5713,1038.5713,1143.51796998
2045,EUR,277.4407,286.6411,279.7748,278.0327,291.6918,277.4407,277.4407,277.4407,277.4407,287.94138173
2045,NEU,77.8578,79.73,82.4501,77.0225,77.8313,77.8578,77.8578,77.8578,77.8578,79.74335648
2045,MEA,430.777,447.8124,468.6668,446.4678,429.4084,430.777,430.777,430.777,430.777,447.13674996
2045,REF,184.7996,186.6066,188.3926,181.2823,187.0171,184.7996,184.7996,184.7996,184.7996,186.6399192
2045,CAZ,46.1119,47.7736,41.9794,46.4054,52.4162,46.1119,46.1119,46.1119,46.1119,47.64489795
2045,CHA,836.2605,848.8922,876.411,825.4831,833.0383,836.2605,836.2605,836.2605,836.2605,836.92651734
2045,IND,1089.6336,1115.653,1154.426,1074.9577,1087.3904,1089.6336,1089.6336,1089.6336,1089.6336,1115.65269038
2045,JPN,55.3481,56.8874,57.4823,55.2989,56.3362,55.3481,55.3481,55.3481,55.3481,56.85710144
2045,USA,223.8045,231.6085,217.2662,224.2008,243.962,223.8045,223.8045,223.8045,223.8045,232.13277606
2050,LAM,462.4673,483.8488,534.8631,466.5039,445.4249,462.4673,462.4673,462.4673,462.4673,483.16379627
2050,OAS,939.2027,992.9495,1077.1604,987.8509,916.773,939.2027,939.2027,939.2027,939.2027,992.96055147
2050,SSA,1080.8727,1250.3957,1367.058,1349.9327,1074.7605,1080.8727,1080.8727,1080.8727,1080.8727,1249.46616784
2050,EUR,266.3855,281.0137,275.2545,267.9973,284.1052,266.3855,266.3855,266.3855,266.3855,281.47960506
2050,NEU,75.4185,78.4061,82.7134,74.3536,75.5017,75.4185,75.4185,75.4185,75.4185,78.41874478
2050,MEA,427.494,454.8068,489.076,454.4251,425.3421,427.494,427.494,427.494,427.494,454.09851383
2050,REF,176.4737,180.0227,183.9752,172.2001,179.4433,176.4737,176.4737,176.4737,176.4737,180.04589421
2050,CAZ,45.7258,48.3551,41.522,46.2498,53.4174,45.7258,45.7258,45.7258,45.7258,48.22474666
2050,CHA,777.9826,797.5632,839.7008,763.6382,774.1051,777.9826,777.9826,777.9826,777.9826,786.611478
2050,IND,1080.3267,1119.7144,1182.5595,1059.028,1077.5415,1080.3267,1080.3267,1080.3267,1080.3267,1119.71408926
2050,JPN,51.1593,53.5662,54.7891,51.1595,52.3894,51.1593,51.1593,51.1593,51.1593,53.53767033
2050,USA,223.1962,235.8865,220.4886,224.3126,248.0224,223.1962,223.1962,223.1962,223.1962,236.42045987
2055,LAM,444.9324,474.4114,542.826,450.4881,425.3292,444.9324,444.9324,444.9324,444.9324,473.70830482
2055,OAS,918.9185,993.6746,1109.5536,989.464,892.629,918.9185,918.9185,918.9185,918.9185,993.68785696
2055,SSA,1113.1265,1351.6349,1525.4528,1500.4319,1105.3607,1113.1265,1113.1265,1113.1265,1113.1265,1350.67225483
2055,EUR,255.791,276.5006,272.2974,258.6479,276.8446,255.791,255.791,255.791,255.791,275.89811679
2055,NEU,72.7602,76.9082,82.939,71.4263,73.0009,72.7602,72.7602,72.7602,72.7602,76.92012766
2055,MEA,421.3176,459.9928,510.3254,460.6615,418.245,421.3176,421.3176,421.3176,421.3176,459.25620559
2055,REF,166.6844,172.525,179.3227,161.875,170.4899,166.6844,166.6844,166.6844,166.6844,172.53946938
2055,CAZ,45.0674,48.7914,41.0043,45.8707,54.0329,45.0674,45.0674,45.0674,45.0674,48.6600295
2055,CHA,693.3086,720.9339,780.3203,675.6678,688.8672,693.3086,693.3086,693.3086,693.3086,710.76526245
2055,IND,1059.9467,1111.6813,1201.8872,1029.4711,1056.6381,1059.9467,1059.9467,1059.9467,1059.9467,1111.68099149
2055,JPN,47.6288,50.9609,52.84,47.6739,49.0929,47.6288,47.6288,47.6288,47.6288,50.93375793
2055,USA,220.2912,238.4775,222.5507,222.3049,249.5098,220.2912,220.2912,220.2912,220.2912,239.01732494
2060,LAM,424.1933,462.5714,550.4067,431.2694,402.5432,424.1933,424.1933,424.1933,424.1933,461.85969366
2060,OAS,888.8795,986.6842,1138.9512,984.7212,859.2674,888.8795,888.8795,888.8795,888.8795,986.69950111
2060,SSA,1132.6389,1444.7715,1688.0255,1652.4062,1123.1858,1132.6389,1132.6389,1132.6389,1132.6389,1443.78690131
2060,EUR,246.6264,274.0585,272.2688,250.9236,270.6426,246.6264,246.6264,246.6264,246.6264,272.29925129
2060,NEU,69.9642,75.3199,83.2551,68.3081,70.4042,69.9642,69.9642,69.9642,69.9642,75.33114219
2060,MEA,416.1511,467.0707,536.376,469.1295,412.0573,416.1511,416.1511,416.1511,416.1511,466.3074709
2060,REF,161.28,169.7587,179.8913,155.8843,165.9455,161.28,161.28,161.28,161.28,169.77231792
2060,CAZ,44.1554,49.1316,40.625,45.2999,54.1867,44.1554,44.1554,44.1554,44.1554,48.99978694
2060,CHA,636.2644,671.5214,749.4366,614.0293,631.3862,636.2644,636.2644,636.2644,636.2644,662.21012216
2060,IND,1029.4666,1095.0709,1218.0306,988.0284,1025.6799,1029.4666,1029.4666,1029.4666,1029.4666,1095.07059609
2060,JPN,44.5145,48.8253,51.4147,44.6381,46.1897,44.5145,44.5145,44.5145,44.5145,48.79929536
2060,USA,215.6194,239.9916,224.6604,218.7483,248.662,215.6194,215.6194,215.6194,215.6194,240.5348523
2065,LAM,400.0935,448.3635,558.036,409.4528,376.9434,400.0935,400.0935,400.0935,400.0935,447.65784604
2065,OAS,851.911,975.3125,1169.4637,977.9007,819.5809,851.911,851.911,851.911,851.911,975.32972091
2065,SSA,1133.6727,1525.5119,1851.9681,1804.0466,1122.5804,1133.6727,1133.6727,1133.6727,1133.6727,1524.52115021
2065,EUR,238.8442,273.7447,275.6919,244.8251,265.3645,238.8442,238.8442,238.8442,238.8442,270.86189504
2065,NEU,66.6523,73.3379,83.5104,64.7095,67.315,66.6523,66.6523,66.6523,66.6523,73.34839055
2065,MEA,410.09,474.2876,565.7187,478.8022,404.9193,410.09,410.09,410.09,410.09,473.49624003
2065,REF,159.4529,170.7642,184.5932,153.3861,164.9381,159.4529,159.4529,159.4529,159.4529,170.78080003
2065,CAZ,43.6225,50.0267,41.1042,45.1855,54.4852,43.6225,43.6225,43.6225,43.6225,49.89314472
2065,CHA,596.1832,639.4668,737.5613,569.0648,590.9836,596.1832,596.1832,596.1832,596.1832,630.94692697
2065,IND,987.3546,1071.3839,1233.3551,936.2371,983.1465,987.3546,987.3546,987.3546,987.3546,1071.38360267
2065,JPN,41.311,46.6692,50.0851,41.5646,43.1693,41.311,41.311,41.311,41.311,46.64434371
2065,USA,211.4703,242.9661,229.7914,216.0136,247.6983,211.4703,211.4703,211.4703,211.4703,243.51608547
2070,LAM,374.253,433.2001,566.9615,386.5065,349.9949,374.253,374.253,374.253,374.253,432.50527674
2070,OAS,808.1525,959.6155,1201.0805,968.6959,773.5757,808.1525,808.1525,808.1525,808.1525,959.63460522
2070,SSA,1112.388,1591.0211,2014.1782,1952.0822,1099.7577,1112.388,1112.388,1112.388,1112.388,1590.03488222
2070,EUR,230.4077,273.5936,280.8352,238.3261,259.073,230.4077,230.4077,230.4077,230.4077,269.60138954
2070,NEU,63.1551,71.3299,84.1295,60.9626,64.033,63.1551,63.1551,63.1551,63.1551,71.33988685
2070,MEA,398.7661,477.4053,594.326,485.6788,392.4901,398.7661,398.7661,398.7661,398.7661,476.58740227
2070,REF,156.5129,170.8964,188.8963,149.8851,162.7674,156.5129,156.5129,156.5129,156.5129,170.91464384
2070,CAZ,43.2609,51.2748,42.1989,45.3026,54.7898,43.2609,43.2609,43.2609,43.2609,51.13856037
2070,CHA,554.1943,605.7031,726.2605,521.9102,548.7197,554.1943,554.1943,554.1943,554.1943,597.70399259
2070,IND,935.8623,1041.614,1249.59,877.0449,931.2757,935.8623,935.8623,935.8623,935.8623,1041.61371093
2070,JPN,38.1062,44.5915,48.9846,38.5084,40.1257,38.1062,38.1062,38.1062,38.1062,44.56775031
2070,USA,206.9062,246.594,237.2148,213.1708,245.8855,206.9062,206.9062,206.9062,206.9062,247.1521977
2075,LAM,347.4809,417.5807,577.4412,363.0541,322.3123,347.4809,347.4809,347.4809,347.4809,416.89564216
2075,OAS,757.4117,938.686,1232.0503,955.9507,720.8322,757.4117,757.4117,757.4117,757.4117,938.70716995
2075,SSA,1068.1444,1639.7534,2171.3609,2092.9695,1054.0591,1068.1444,1068.1444,1068.1444,1068.1444,1638.77541446
2075,EUR,219.5986,271.8968,285.7168,229.8011,250.1942,219.5986,219.5986,219.5986,219.5986,266.67188964
2075,NEU,59.4345,69.2278,85.0235,57.0341,60.5148,59.4345,59.4345,59.4345,59.4345,69.23744658
2075,MEA,379.6257,473.7324,619.5219,487.1743,372.2376,379.6257,379.6257,379.6257,379.6257,472.8928351
2075,REF,149.687,167.4719,190.2209,142.867,156.7151,149.687,149.687,149.687,149.687,167.49216996
2075,CAZ,42.4396,52.2417,43.1701,45.0208,54.5488,42.4396,42.4396,42.4396,42.4396,52.10356005
2075,CHA,504.318,565.0821,709.9802,467.6214,498.6008,504.318,504.318,504.318,504.318,557.38535413
2075,IND,879.8759,1008.5013,1266.0848,813.6722,874.9283,879.8759,879.8759,879.8759,879.8759,1008.50102012
2075,JPN,34.7141,42.377,47.902,35.2686,36.8832,34.7141,34.7141,34.7141,34.7141,42.35442976
2075,USA,201.119,249.9827,245.505,209.4211,242.661,201.119,201.119,201.119,201.119,250.54856846
2080,LAM,319.1726,400.5784,588.3467,338.191,293.2778,319.1726,319.1726,319.1726,319.1726,399.89666456
2080,OAS,700.0851,912.1691,1261.3284,939.1097,661.7343,700.0851,700.0851,700.0851,700.0851,912.19228567
2080,SSA,1003.077,1671.4442,2321.5662,2224.2944,987.6383,1003.077,1003.077,1003.077,1003.077,1670.47683939
2080,EUR,208.4674,270.4445,291.7291,221.2117,240.7796,208.4674,208.4674,208.4674,208.4674,263.81461565
2080,NEU,55.3421,66.8633,85.9408,52.7902,56.6137,55.3421,55.3421,55.3421,55.3421,66.87258564
2080,MEA,352.2217,462.6979,640.6109,482.4512,343.7594,352.2217,352.2217,352.2217,352.2217,461.84478675
2080,REF,139.3365,160.8289,189.0474,132.6952,147.1171,139.3365,139.3365,139.3365,139.3365,160.85023303
2080,CAZ,41.3297,53.0482,44.0765,44.4978,53.9405,41.3297,41.3297,41.3297,41.3297,52.90846095
2080,CHA,447.3705,517.8416,689.3798,407.1416,441.4419,447.3705,447.3705,447.3705,447.3705,510.50764662
2080,IND,825.7868,977.344,1286.5958,751.6567,820.4954,825.7868,825.7868,825.7868,825.7868,977.34372877
2080,JPN,31.2498,40.1353,46.8959,31.9689,33.5575,31.2498,31.2498,31.2498,31.2498,40.1139237
2080,USA,195.3477,253.8739,255.0792,205.8198,239.2735,195.3477,195.3477,195.3477,195.3477,254.4485767
2085,LAM,292.766,382.2921,595.9422,314.4032,266.3808,292.766,292.766,292.766,292.766,381.61382719
2085,OAS,647.7739,883.6875,1285.5888,923.1379,607.9727,647.7739,647.7739,647.7739,647.7739,883.71272712
2085,SSA,943.1776,1691.334,2459.8224,2341.5364,926.5478,943.1776,943.1776,943.1776,943.1776,1690.37583945
2085,EUR,198.5718,268.8961,296.5533,214.0451,232.3237,198.5718,198.5718,198.5718,198.5718,260.7526952
2085,NEU,51.8619,64.7594,86.7731,49.276,53.3111,51.8619,51.8619,51.8619,51.8619,64.76830474
2085,MEA,327.7613,451.3389,660.4695,478.7864,318.3025,327.7613,327.7613,327.7613,327.7613,450.47321979
2085,REF,131.1419,155.8009,188.7874,125.1506,139.6376,131.1419,131.1419,131.1419,131.1419,155.82480592
2085,CAZ,40.2299,53.6919,44.6565,44.027,53.2344,40.2299,40.2299,40.2299,40.2299,53.55086628
2085,CHA,404.9949,481.6166,676.0854,362.6187,398.9111,404.9949,404.9949,404.9949,404.9949,474.63474116
2085,IND,776.254,944.4027,1302.771,694.7432,770.6495,776.254,776.254,776.254,776.254,944.40243791
2085,JPN,28.4964,38.2915,45.9634,29.365,30.928,28.4964,28.4964,28.4964,28.4964,38.27110572
2085,USA,189.3119,256.5515,262.7685,202.1056,235.3298,189.3119,189.3119,189.3119,189.3119,257.1322378
2090,LAM,270.0553,364.4638,601.9933,292.4656,243.4526,270.0553,270.0553,270.0553,270.0553,363.7893644
2090,OAS,601.1201,853.9119,1305.9679,907.5671,560.27,601.1201,601.1201,601.1201,601.1201,853.93898606
2090,SSA,894.0141,1699.7998,2585.6227,2444.0227,876.4169,894.0141,894.0141,894.0141,894.0141,1698.85472027
2090,EUR,190.2894,267.9345,301.1141,208.4647,225.1467,190.2894,190.2894,190.2894,190.2894,258.24634363
2090,NEU,48.9089,62.7937,87.5051,46.2782,50.5106,48.9089,48.9089,48.9089,48.9089,62.8022502
2090,MEA,307.5608,440.9554,680.4182,476.6191,297.2319,307.5608,307.5608,307.5608,307.5608,440.07858865
2090,REF,125.1444,152.6484,190.0663,119.9904,134.3073,125.1444,125.1444,125.1444,125.1444,152.67604977
2090,CAZ,39.2187,54.2803,45.1125,43.6571,52.4863,39.2187,39.2187,39.2187,39.2187,54.13817482
