"variable",2015,2020
"K",1,1.08014379147984
"L",1,0.980784238701728
"GDPreal",1,1.07738883565065
"wI",1,1.08179204930179
"bKLj",1,1.1592740743
"bKLj",1,1.17393426792816
"bKLj",1,1.02287650573635
"bKLj",1,1.17393426792816
"bKLj",1,1.17393426792816
"bKLj",1,1
"bKLj",1,1.02287650573635
"YE_Pj",1,1.002
"YE_Pj",1,0.997
"YE_Pj",1,1
"YE_Pj",1,0.799110135490726
"YE_Pj",1,1.00649602700216
"YE_Pj",1,1
"YE_Pj",1,1
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.00805649105404
"YE_Tj",1,1.01614820038948
"YE_Bj",1,1
"YE_Bj",1,1
"YE_Bj",1,1.03264201437659
"YE_Bj",1,1
"YE_Bj",1,1
"YE_Bj",1,1
"YE_Bj",1,1
"C_EB",1,1.03264201437659
"C_ET",1,0.9423189758176
"YE_Ej",1,1
"YE_Ej",1,1
"YE_Ej",1,1
"YE_Ej",1,1
"YE_Ej",1,1
"YE_Ej",1,0.924990913936068
"YE_Ej",1,1
"rhoB",1,1.05217777899331
"rhoTT",1,1.07156090044756
"rhoTnT",1,1.07156090044756
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"rhoPj",1,1.07759379499283
"lambda_KLM",1,1.41770007510935
"pXj",1,1
"pXj",1,1.06310657578991
"Xj",1,0.084720783606935
"Mj",1,0.754062943491478
