Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,2130,2150
REMIND,SSP2-NPi2025,EUR,Population,Million people,325.5023,318.659,309.9235,301.0232,293.3497,286.6411,281.0137,276.5006,274.0585,273.5936,270.4445,267.9345,266.9666,266.28682681,265.36138063,264.5420719
