Model,Scenario,Region,Variable,Energy consumers,Energy uses,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,2130,2150
REMIND,SSP2-NPi2025,EUR,Volume,STEEL,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,STEEL,PAS,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,STEEL,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,STEEL,R&C,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,STEEL,ST,EJ,2.0502214496635407,1.8860450926807144,1.648929811246681,1.51224790120567,1.3553326116559012,1.249425384295103,1.1763222943287948,1.1197553402152376,1.1058574226724354,1.057597049440003,1.0130422535491648,0.9378204656141896,0.8437585609452393,0.8640080414581887,0.8570617931573423,0.6895455700839112
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,CH,EJ,5.918944838373178,6.447351168705819,6.246538101248035,6.401367420100095,6.217452659708924,6.186920251790485,6.083775643293858,5.974642134384077,5.9596266179561646,5.529557122342316,5.077872738893368,4.7051467689222655,4.339784214855853,4.104118820328466,3.5441926240314365,2.32837945015833
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,FRE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,PAS,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,R&C,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,CHEMICAL,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,CH,EJ,0.4288332667371805,0.4671168154082361,0.4525677148382932,0.4637852484364387,0.4504604465243789,0.4482483440996138,0.4407754176548232,0.4328685895943785,0.4317807009356126,0.4006217508584924,0.3678967812941841,0.3408924250000945,0.3144215552957566,0.297347369988792,0.2567801766044092,0.1686933386068776
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,FRE,EJ,6.590793369385209,6.535563077419625,6.038434622942627,5.309803290132908,4.5810733628530205,4.121706484851297,3.809640202877768,3.629669848682834,3.591676798721007,3.652425213039472,3.7307282302124727,3.72931372868312,3.771940225946509,3.784607098581778,3.755123620829048,3.325233321431125
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,PAS,EJ,5.084373924890083,5.041767300680276,4.658264616010383,4.096172324268394,3.5340039732228927,3.1796319203348213,2.938892819899085,2.8000572465715434,2.770748047856522,2.8176115491724536,2.8780172995035045,2.8769261023911863,2.909809708210495,2.919581387176463,2.896836777066642,2.56520401203795
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,PE,EJ,36.77737496122874,32.071689358693774,23.520008373306798,18.91430873827964,14.21157874956435,11.360550618914704,8.566777555974534,6.273323032390853,3.606573663379709,1.9243810978944529,1.4675314617869992,1.1254783624376352,1.1056992699558563,1.0263503989416294,0.4190201592268758,0.0
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,R&C,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,ENERGY,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,CH,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,FRE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,PAS,EJ,2.246149983210148,2.2273274359964184,2.0579054852395315,1.8095870864927048,1.5612350866367095,1.4046823247031162,1.298329775817081,1.2369956714995332,1.2240475962450028,1.244750725922119,1.2714364845024777,1.2709544207495516,1.2854815801894477,1.289798464995637,1.2797504617663311,1.13324335182413
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,R&C,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,CH,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,FRE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,PAS,EJ,10.787159603766716,10.69676411706206,9.883113364949727,8.69056156749338,7.497848400346597,6.746002066837457,6.235242799790894,5.940685100005463,5.87850182846249,5.977928832800535,6.106087477194578,6.103772360803919,6.173539201237061,6.194271087239121,6.146015442983887,5.442413461884453
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,R&C,EJ,11.650085999999996,11.7595266622277,11.733404510060394,11.722940512722872,11.065298208861469,10.45115183343478,9.773758624325437,9.130136857753763,8.993615046461588,8.528598459240403,8.480328042241936,8.466635970344011,8.263263956546494,8.473064128270279,8.725827997753521,7.23334931180004
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,CH,M EUR 2020/EJ,8385.95622340978,11394.019001357265,13628.368011675606,13057.970704905889,12011.640222255588,12097.57667139555,12651.758168720726,13737.703439880986,14404.857762739191,13992.060541802206,13669.127513471276,14369.711732070722,16013.079775987895,15316.083945123326,12729.423060762614,10441.877439966842
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,FRE,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180294,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493677,25015.56540840457,24856.620497285214,24511.93181602833,23070.36729128637,23495.323751456606,26212.059952575677
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198715,10637.435776586266,10480.51117465848,10693.397599132002,11207.410230689073,11131.318237385309,10657.92904667196,10301.46213561801,10274.432652687085,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328676
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180294,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493677,25015.56540840457,24856.620497285214,24511.93181602833,23070.36729128637,23495.323751456606,26212.059952575677
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.375334551804,4571.873878432935,4803.989377866605,
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,R&C,M EUR 2020/EJ,12028.67902941558,13884.474374204752,14796.12585796246,13767.215158007146,13453.704540886176,13747.077851471551,14233.154008499385,14644.816402449807,14260.240382516158,13974.097426067325,13650.167139990206,13300.511057027365,13176.554757934193,12455.767912354531,12380.409972583431,13759.019764692926
REMIND,SSP2-NPi2025,EUR,Price,AGRICULTURE,ST,M EUR 2020/EJ,5892.341367112446,7162.214640638634,7452.953357980266,6935.27593139552,7030.513854014249,7172.793502207226,7423.145742850219,8010.446743178263,8178.122920887009,7471.740941816443,6590.59622419895,7034.718345451113,8364.36325880808,8197.586043406365,6234.10141770052,4451.4212426479935
REMIND,SSP2-NPi2025,EUR,Price,MANUFACTURE,CH,M EUR 2020/EJ,8385.95622340978,11394.019001357265,13628.368011675606,13057.970704905889,12011.640222255588,12097.57667139555,12651.758168720726,13737.703439880986,14404.857762739191,13992.060541802206,13669.127513471276,14369.711732070722,16013.079775987895,15316.083945123326,12729.423060762614,10441.877439966842
REMIND,SSP2-NPi2025,EUR,Price,MANUFACTURE,FRE,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180294,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493677,25015.56540840457,24856.620497285214,24511.93181602833,23070.36729128637,23495.323751456606,26212.059952575677
REMIND,SSP2-NPi2025,EUR,Price,MANUFACTURE,IND,M EUR 2020/EJ,9486.78471096017,11174.880985216068,11872.188704265744,11113.692335198715,10637.435776586266,10480.51117465848,10693.397599132002,11207.410230689073,11131.318237385309,10657.92904667196,10301.46213561801,10274.432652687085,10542.7473538592,9983.740165868823,9225.728223984772,9239.859696328676
REMIND,SSP2-NPi2025,EUR,Price,MANUFACTURE,PAS,M EUR 2020/EJ,22437.34017311768,24680.93169214702,26013.6164857638,25174.53930820023,24605.885362233374,24920.474423180294,25638.49178585193,26407.6461213374,26017.169822775468,25467.317292493677,25015.56540840457,24856.620497285214,24511.93181602833,23070.36729128637,23495.323751456606,26212.059952575677
REMIND,SSP2-NPi2025,EUR,Price,MANUFACTURE,PE,M EUR 2020/EJ,4185.686252332838,4907.576453153107,5836.964280266778,6197.914489472353,6603.364244315672,7140.845919918016,7553.801875508489,7888.859931228109,7685.778874759882,6477.701965573122,5600.866646531095,4391.834651692017,4370.375334551804,4571.873878432935,4803.989377866605,
