variable_name,row_label,col_label,2020,2025,2030,2035,2040,2045,2050
K,,,1.0,1.075672172518176,1.1625385481009054,1.255779823544197,1.3570110089515852,1.4658128701486728,1.5787570147051948
L,,,1.0,0.9789761854217313,0.9521392014741524,0.9247959231010041,0.9012215889104317,0.880611596292868,0.8633232391906294
GDPreal,,,1.0,1.07029602104638,1.1482107878155055,1.241121971389118,1.337809122432595,1.4394814146292738,1.5412000207085945
wI,,,1.0,1.057910257470404,1.0949626149699958,1.073802967164249,1.0707573668288475,1.0638132742167146,1.0509393419366264
E_vol,HOUSEHOLDS,R&C,1.0,1.0093939789137782,1.0071517506446217,1.0062535600786875,0.9498039936238645,0.8970879556970467,0.8389430450835675
E_vol,HOUSEHOLDS,PAS,1.0,0.9916200844313927,0.9161923738941149,0.8056394719939773,0.6950716106701953,0.6253733433666684,0.5780245244182389
rhoE,AGRICULTURE,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,AGRICULTURE,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,AGRICULTURE,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,AGRICULTURE,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,AGRICULTURE,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,AGRICULTURE,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,MANUFACTURE,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,MANUFACTURE,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,MANUFACTURE,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,MANUFACTURE,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,MANUFACTURE,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,MANUFACTURE,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,SERVICES,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,SERVICES,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,SERVICES,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,SERVICES,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,SERVICES,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,SERVICES,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,STEEL,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,STEEL,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,STEEL,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,STEEL,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,STEEL,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,STEEL,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,CHEMICAL,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,CHEMICAL,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,CHEMICAL,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,CHEMICAL,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,CHEMICAL,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,CHEMICAL,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,ENERGY,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,ENERGY,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,ENERGY,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,ENERGY,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,ENERGY,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,ENERGY,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,TRANSPORTATION,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,TRANSPORTATION,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,TRANSPORTATION,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,TRANSPORTATION,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,TRANSPORTATION,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
rhoE,TRANSPORTATION,ST,1.0,1.0367141598657044,0.9070268432101573,0.7948715208715211,0.7563112960397225,0.7135385445352495,0.6980735292151433
rhoE,HOUSEHOLDS,CH,1.0,1.1588412504630936,1.1653889545550264,1.0515845349098902,0.9079274413426877,0.8455957697965234,0.8359867093026456
rhoE,HOUSEHOLDS,FRE,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,HOUSEHOLDS,IND,1.0,1.004670057807103,0.897410986422485,0.7911528855767437,0.7107540187228012,0.6475606193670471,0.6245939193030587
rhoE,HOUSEHOLDS,PAS,1.0,0.9381877874873483,0.8313980411836157,0.757724362445958,0.6951348177003674,0.6510314111029379,0.6331727026630503
rhoE,HOUSEHOLDS,R&C,1.0,0.9844895361606574,0.8820835367796963,0.7729461794650389,0.7089659333207501,0.6698992092158825,0.6556684616127487
