Model,Scenario,Region,Variable,Energy consumers,Energy uses,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,2130,2150
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,PAS,EJ,2.246149983210148,2.2273274359964184,2.0579054852395315,1.8095870864927048,1.5612350866367097,1.4046823247031162,1.298329775817081,1.2369956714995332,1.2240475962450028,1.2447507259221193,1.2714364845024777,1.2709544207495516,1.2854815801894477,1.2897984649956373,1.2797504617663311,1.13324335182413
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,R&C,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,TRANSPORTATION,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,CH,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,FRE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,IND,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,PAS,EJ,10.787159603766716,10.696764117062061,9.883113364949727,8.69056156749338,7.497848400346597,6.746002066837457,6.235242799790894,5.940685100005463,5.87850182846249,5.977928832800535,6.106087477194578,6.103772360803919,6.173539201237061,6.194271087239121,6.146015442983887,5.442413461884453
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,PE,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,R&C,EJ,11.650085999999996,11.759526662227701,11.733404510060394,11.722940512722872,11.065298208861469,10.45115183343478,9.773758624325435,9.130136857753763,8.993615046461588,8.528598459240403,8.480328042241936,8.466635970344011,8.263263956546494,8.473064128270279,8.725827997753521,7.2333493118000405
REMIND,SSP2-NPi2025,EUR,Volume,HOUSEHOLDS,ST,EJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
